Ref,Val,Package,PosX,PosY,Rot,Side
"C101","0.1u","C_0805",-21.243748,-41.209398,90.000000,bottom
"C102","0.1u","C_0805",-26.601565,-47.757841,90.000000,bottom
"C103","0.1u","C_0805",-47.437520,-39.423459,180.000000,bottom
"C104","0.1u","C_0805",-47.437520,-32.875016,180.000000,bottom
"C105","4.7u","C_0805",-34.340634,-13.825000,-90.000000,bottom
"C106","1u","C_0805",-17.076557,-40.614085,180.000000,bottom
"C107","0.1u","C_0805",-28.982817,-7.425000,-90.000000,bottom
"C108","0.1u","C_0805",-28.982817,-13.825000,-90.000000,bottom
"D1","D","D_0805",-17.264077,-10.715634,90.000000,bottom
"D2","D","D_0805",-45.839101,-10.715634,90.000000,bottom
"D3","D","D_0805",-64.889117,-10.715634,90.000000,bottom
"D4","D","D_0805",-83.939133,-10.715634,90.000000,bottom
"D5","D","D_0805",-102.989149,-10.715634,90.000000,bottom
"D6","D","D_0805",-122.039165,-10.715634,90.000000,bottom
"D7","D","D_0805",-141.089181,-10.715634,90.000000,bottom
"D8","D","D_0805",-160.139197,-10.715634,90.000000,bottom
"D9","D","D_0805",-179.189213,-10.715634,90.000000,bottom
"D10","D","D_0805",-198.239229,-10.715634,90.000000,bottom
"D11","D","D_0805",-217.289245,-10.715634,90.000000,bottom
"D12","D","D_0805",-236.339261,-10.715634,90.000000,bottom
"D13","D","D_0805",-239.911139,-10.715634,90.000000,bottom
"D14","D","D_0805",-258.961155,-10.715634,90.000000,bottom
"D15","D","D_0805",-312.539325,-10.715634,90.000000,bottom
"D16","D","D_0805",-316.111203,-10.715634,90.000000,bottom
"D17","D","D_0805",-17.264077,-29.765650,90.000000,bottom
"D18","D","D_0805",-50.601605,-29.765650,90.000000,bottom
"D19","D","D_0805",-74.414125,-29.765650,90.000000,bottom
"D20","D","D_0805",-93.464141,-29.765650,90.000000,bottom
"D21","D","D_0805",-112.514157,-29.765650,90.000000,bottom
"D22","D","D_0805",-131.564173,-29.765650,90.000000,bottom
"D23","D","D_0805",-150.614189,-29.765650,90.000000,bottom
"D24","D","D_0805",-169.664205,-29.765650,90.000000,bottom
"D25","D","D_0805",-188.714221,-29.765650,90.000000,bottom
"D26","D","D_0805",-207.764237,-29.765650,90.000000,bottom
"D27","D","D_0805",-226.814253,-29.765650,90.000000,bottom
"D28","D","D_0805",-245.864269,-29.765650,90.000000,bottom
"D29","D","D_0805",-264.914285,-29.765650,90.000000,bottom
"D30","D","D_0805",-283.964301,-29.765650,90.000000,bottom
"D31","D","D_0805",-255.389277,-10.715634,90.000000,bottom
"D32","D","D_0805",-316.111203,-29.765650,90.000000,bottom
"D33","D","D_0805",-17.264077,-48.815666,90.000000,bottom
"D34","D","D_0805",-52.982857,-48.815666,90.000000,bottom
"D35","D","D_0805",-79.176629,-48.815666,90.000000,bottom
"D36","D","D_0805",-98.226645,-48.815666,90.000000,bottom
"D37","D","D_0805",-117.276661,-48.815666,90.000000,bottom
"D38","D","D_0805",-136.326677,-48.815666,90.000000,bottom
"D39","D","D_0805",-155.376693,-48.815666,90.000000,bottom
"D40","D","D_0805",-174.426709,-48.815666,90.000000,bottom
"D41","D","D_0805",-193.476725,-48.815666,90.000000,bottom
"D42","D","D_0805",-212.526741,-48.815666,90.000000,bottom
