Ref,Val,Package,PosX,PosY,Rot,Side
"K1","KEYSW","CHERRY_PLATE_100H",9.525000,-9.525000,0.000000,top
"K2","KEYSW","CHERRY_PLATE_100H",38.100000,-9.525000,0.000000,top
"K3","KEYSW","CHERRY_PLATE_100H",57.150000,-9.525000,0.000000,top
"K4","KEYSW","CHERRY_PLATE_100H",76.200000,-9.525000,0.000000,top
"K5","KEYSW","CHERRY_PLATE_100H",95.250000,-9.525000,0.000000,top
"K6","KEYSW","CHERRY_PLATE_100H",114.300000,-9.525000,0.000000,top
"K7","KEYSW","CHERRY_PLATE_100H",133.350000,-9.525000,0.000000,top
"K8","KEYSW","CHERRY_PLATE_100H",152.400000,-9.525000,0.000000,top
"K9","KEYSW","CHERRY_PLATE_100H",171.450000,-9.525000,0.000000,top
"K10","KEYSW","CHERRY_PLATE_100H",190.500000,-9.525000,0.000000,top
"K11","KEYSW","CHERRY_PLATE_100H",209.550000,-9.525000,0.000000,top
"K12","KEYSW","CHERRY_PLATE_100H",228.600000,-9.525000,0.000000,top
"K13","KEYSW","CHERRY_PLATE_100H",247.650000,-9.525000,0.000000,top
"K14","KEYSW","CHERRY_PLATE_100H",266.700000,-9.525000,0.000000,top
"K15","KEYSW","CHERRY_PCB_200H",295.275000,-9.525000,0.000000,top
"K15-1","KEYSW","CHERRY_PLATE_100H",304.800000,-9.525000,0.000000,top
"K16","KEYSW","CHERRY_PLATE_100H",323.850000,-9.525000,0.000000,top
"K17","KEYSW","CHERRY_PLATE_100H",9.525000,-28.575000,0.000000,top
"K18","KEYSW","CHERRY_PLATE_150H",42.862500,-28.575000,0.000000,top
"K19","KEYSW","CHERRY_PLATE_100H",66.675000,-28.575000,0.000000,top
"K20","KEYSW","CHERRY_PLATE_100H",85.725000,-28.575000,0.000000,top
"K21","KEYSW","CHERRY_PLATE_100H",104.775000,-28.575000,0.000000,top
"K22","KEYSW","CHERRY_PLATE_100H",123.825000,-28.575000,0.000000,top
"K23","KEYSW","CHERRY_PLATE_100H",142.875000,-28.575000,0.000000,top
"K24","KEYSW","CHERRY_PLATE_100H",161.925000,-28.575000,0.000000,top
"K25","KEYSW","CHERRY_PLATE_100H",180.975000,-28.575000,0.000000,top
"K26","KEYSW","CHERRY_PLATE_100H",200.025000,-28.575000,0.000000,top
"K27","KEYSW","CHERRY_PLATE_100H",219.075000,-28.575000,0.000000,top
"K28","KEYSW","CHERRY_PLATE_100H",238.125000,-28.575000,0.000000,top
"K29","KEYSW","CHERRY_PLATE_100H",257.175000,-28.575000,0.000000,top
"K30","KEYSW","CHERRY_PLATE_100H",276.225000,-28.575000,0.000000,top
"K31","KEYSW","CHERRY_PLATE_100H",285.750000,-9.525000,0.000000,top
"K32","KEYSW","CHERRY_PLATE_100H",323.850000,-28.575000,0.000000,top
"K33","KEYSW","CHERRY_PLATE_100H",9.525000,-47.625000,0.000000,top
"K34","KEYSW","CHERRY_PLATE_175H",45.243750,-47.625000,0.000000,top
"K34-1","KEYSW","CHERRY_PLATE_125H",40.481250,-47.625000,0.000000,top
"K35","KEYSW","CHERRY_PLATE_100H",71.437500,-47.625000,0.000000,top
"K36","KEYSW","CHERRY_PLATE_100H",90.487500,-47.625000,0.000000,top
"K37","KEYSW","CHERRY_PLATE_100H",109.537500,-47.625000,0.000000,top
"K38","KEYSW","CHERRY_PLATE_100H",128.587500,-47.625000,0.000000,top
"K39","KEYSW","CHERRY_PLATE_100H",147.637500,-47.625000,0.000000,top
"K40","KEYSW","CHERRY_PLATE_100H",166.687500,-47.625000,0.000000,top
"K41","KEYSW","CHERRY_PLATE_100H",185.737500,-47.625000,0.000000,top
"K42","KEYSW","CHERRY_PLATE_100H",204.787500,-47.625000,0.000000,top
"K43","KEYSW","CHERRY_PLATE_100H",223.837500,-47.625000,0.000000,top
"K44","KEYSW","CHERRY_PLATE_100H",242.887500,-47.625000,0.000000,top
"K45","KEYSW","CHERRY_PLATE_100H",261.937500,-47.625000,0.000000,top
"K46","KEYSW","CHERRY_PLATE_100H",280.987500,-47.625000,0.000000,top
"K46-1","KEYSW","CHERRY_PLATE_150H",300.037500,-28.575000,0.000000,top
